MAGs
after_final_contigs_comebin_112591
all_final_contigs_concoct_345_sub
Co22_flye_high_cov_concoct_52_sub
after_final_contigs_comebin_11306_sub
all_final_contigs_concoct_34_sub
Co22_flye_high_cov_concoct_56_sub
after_final_contigs_comebin_116642_sub
all_final_contigs_concoct_355_sub
Co22_flye_high_cov_concoct_66_sub
after_final_contigs_comebin_11_sub
all_final_contigs_concoct_357_sub
Co22_flye_high_cov_concoct_67_sub
after_final_contigs_comebin_126647_sub
all_final_contigs_concoct_35_sub
Co22_flye_high_cov_concoct_71_sub
after_final_contigs_comebin_12_sub
all_final_contigs_concoct_40_sub
Co22_flye_high_cov_concoct_78_sub
after_final_contigs_comebin_130_sub
all_final_contigs_concoct_42_sub
Co22_flye_high_cov_concoct_7_sub
after_final_contigs_comebin_140_sub
all_final_contigs_concoct_50_sub
Co22_flye_high_cov_concoct_83_sub
after_final_contigs_comebin_142_sub
all_final_contigs_concoct_52_sub
Co22_flye_high_cov_concoct_92_sub
after_final_contigs_comebin_148156_sub
all_final_contigs_concoct_54_sub
Co22_flye_high_cov_concoct_93_sub
after_final_contigs_comebin_152883_sub
all_final_contigs_concoct_55_sub
Co22_flye_high_cov_concoct_99_sub
after_final_contigs_comebin_166078
all_final_contigs_concoct_59_sub
Co22_flye_high_cov_metabat_125_sub
after_final_contigs_comebin_177_sub
all_final_contigs_concoct_6_sub
Co22_flye_high_cov_metabat_130_sub
after_final_contigs_comebin_179522_sub
all_final_contigs_concoct_74_sub
Co22_flye_high_cov_metabat_133_sub
after_final_contigs_comebin_189_sub
all_final_contigs_concoct_75_sub
Co22_flye_high_cov_metabat_147_sub
after_final_contigs_comebin_18_sub
all_final_contigs_concoct_77_sub
Co22_flye_high_cov_metabat_16_sub
after_final_contigs_comebin_194_sub
all_final_contigs_concoct_82_sub
Co22_flye_high_cov_metabat_171_sub
after_final_contigs_comebin_198_sub
all_final_contigs_concoct_86_sub
Co22_flye_high_cov_metabat_17
after_final_contigs_comebin_199
all_final_contigs_concoct_87_sub
Co22_flye_high_cov_metabat_200
after_final_contigs_comebin_1
all_final_contigs_concoct_97_sub
Co22_flye_high_cov_metabat_25
after_final_contigs_comebin_201392
all_final_contigs_metabat_105_sub
Co22_flye_high_cov_metabat_27_sub
after_final_contigs_comebin_223_sub
all_final_contigs_metabat_109_sub
Co22_flye_high_cov_metabat_32_sub
after_final_contigs_comebin_22700_sub
all_final_contigs_metabat_110_sub
Co22_flye_high_cov_metabat_61
after_final_contigs_comebin_22858
all_final_contigs_metabat_126_sub
Co22_flye_high_cov_metabat_70_sub
after_final_contigs_comebin_236_sub
all_final_contigs_metabat_135_sub
Co22_flye_high_cov_metabat_89
after_final_contigs_comebin_24778_sub
all_final_contigs_metabat_184_sub
Co22_flye_high_cov_metabinner_18_sub
after_final_contigs_comebin_249610_sub
all_final_contigs_metabat_189_sub
Co22_flye_high_cov_metabinner_21_sub
after_final_contigs_comebin_251491
all_final_contigs_metabat_18_sub
Co22_flye_high_cov_rosella_0_115_sub
after_final_contigs_comebin_35_sub
all_final_contigs_metabat_209
Co22_flye_high_cov_rosella_0_116_sub
after_final_contigs_comebin_37
all_final_contigs_metabat_242_sub
Co22_flye_high_cov_rosella_0_136_sub
after_final_contigs_comebin_41187
all_final_contigs_metabat_251_sub
Co22_flye_high_cov_rosella_0_160_sub
after_final_contigs_comebin_61098_sub
all_final_contigs_metabat_266
Co22_flye_high_cov_rosella_0_161_sub
after_final_contigs_comebin_61964_sub
all_final_contigs_metabat_274_sub
