"Virus","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"Sentinel_2_S2_13120_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_9462_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_185057_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_560640_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_181299_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_484283_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_558800_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_386938_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_771048_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_713784_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_348175_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_8991_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_949689_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"Sentinel_2_S2_758888_extended_partial","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
