"Virus","Domain","Realm","Kingdom","Phylum","Class","Order","Family"
"RNA_14_S21_20282","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_17722","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_15905","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_49456","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_69968","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_33456","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_44477","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_14_S21_383","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae"
"RNA_14_S21_69768","Viruses","Riboviria","Riboviria Realm","Riboviria Realm","Riboviria Realm","Riboviria Realm","Riboviria Realm"
"RNA_14_S21_18346","Viruses","Riboviria","Orthornavirae","Lenarviricota","Amabiliviricetes","Amabiliviricetes Class","Amabiliviricetes Class"
"RNA_14_S21_51213","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Ghabrivirales Order"
"RNA_14_S21_12267","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae"
"RNA_15_S7_10403","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae"
"RNA_15_S7_25504","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae"
"RNA_15_S7_16797","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Chrymotiviricetes","Ghabrivirales","Ghabrivirales Order"
"RNA_DAVID_1204358","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_277936","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_584201","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1304485","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1704552","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1647330","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1734668","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Straboviridae"
"RNA_DAVID_934281","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1829037","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1025568","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1911710","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Naomviridae"
"RNA_DAVID_1573058","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_319686","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1176614","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1694217","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1612754","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1499777","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_782538","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1030369","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Autographiviridae"
"RNA_DAVID_1442520","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1438373","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1019806","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1160464","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1630632","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_491651","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_714772","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_143157","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1530007","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1348972","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_209614","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1342610","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_192396","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_221788","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_145544","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1441823","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1771658","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_195896","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_253751","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_591742","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_185333","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_144870","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1481850","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_134771","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1121613","Viruses","Riboviria","Orthornavirae","Pisuviricota","Duplopiviricetes","Durnavirales","Partitiviridae"
"RNA_DAVID_1112375","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_751006","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1413362","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Autographiviridae"
"RNA_DAVID_647811","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1266108","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1297806","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_598088","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Vidaverviricetes","Mindivirales","Cystoviridae"
"RNA_DAVID_1638212","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_129473","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_16106","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1839853","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1648509","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_189027","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_157616","Viruses","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","Caudoviricetes Class","Caudoviricetes Class"
"RNA_DAVID_1253136","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Magsaviricetes","Nodamuvirales","Nodamuvirales Order"
"RNA_DAVID_654585","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae"
"RNA_DAVID_1661629","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Endornaviridae"
